
##

A/NA τ/Τ.υ/ωνιτι. n-3c(2)_a-2b Τραχωνῖτις τραχύς
NN .ος/οτης n-3c(1)_n-2a κυριότης κύριος
NN .ος/οτης n-3c(1)_n-2a ἀδελφότης ἀδελφός

###

NN .ς/της n-1f_n-3e(2) ναύτης ναῦς
NN .ς/της n-1f_n-3e(5b) πολίτης πόλις

NN .η/ιτης n-1f_n-1b τεχνίτης τέχνη
NN .ι/ιτης n-1f_n-3g(2) Λευίτης Λευί

NN .ος/ωτης n-1f_n-2a δεσμώτης δεσμός
NN .ος/ιτης n-1f_n-2a Νικολαΐτης Νικόλαος
NN .α/ιτης n-1f_n-1a Ἱεροσολυμίτης Ἱεροσόλυμα
NN .α/ιτης n-1f_n-1c τραπεζίτης τράπεζα

NN ./ι.ς/της n-3c(1)_n-2a θειότης θεός

###

NN ./α n-1a_n-3f(2a) πυρά πῦρ

NN ./ια n-1a_n-3f(1a) ἀγωνία ἀγών
NN ./ια n-1a_n-3f(2a) σωτηρία σωτήρ
NN ./ωτ. n-2a_n-2a λιβανωτός λίβανος
NN ./ει. n-2c_n-2c εἰδωλεῖον εἴδωλον
NN ./ει.ς/ν n-2c_n-3d(2b) ἀγγεῖον ἄγγος
NN ./ωλ.ς/ν n-2c_n-3d(2b) εἴδωλον εἶδος
NN ./ημ.ς/συνη n-1b_n-3d(2b) ἐλεημοσύνη ἔλεος
NN ./εια n-1a_n-3f(2a) Καισάρεια Καῖσαρ
NN ./κος n-2a_n-1a οἰκιακός οἰκία
NN ./χος n-2a_n-3c(4) στόμαχος στόμα
NN ./αον. n-1a_n-1a Λυκαονία Λυκία
NN ./ιαν. n-2a_n-2a Χριστιανός Χριστός
NN ./αρι. n-2c_n-2c πλοιάριον πλοῖον
NN ./αρι.ς/ν n-2c_n-2a ὀνάριον ὄνος
NN ./ετος n-2a_n-3f(2a) πυρετός πῦρ
NN ./τευς n-3e(3)_n-3c(4) γραμματεύς γράμμα
NN ./ωσις n-3e(5b)_n-3f(2a) πύρωσις πῦρ
NN .η/./α n-1a_n-3f(2c) μήτρα μήτηρ
NN .ω/./ια n-1a_n-3c(6b) ὑδρία ὕδωρ
NN .η/./ια n-1a_n-3f(2c) πατριά πατήρ
NN .η/./ις n-3c(2)_n-3f(2c) πατρίς πατήρ
NN .η/./ιον n-2c_n-3f(1c) ἀρνίον ἀρήν
NN .η/./ιον n-2c_n-3f(2c) θυγάτριον θυγάτηρ
NN .ω/./αριον n-2c_n-3f(1c) κυνάριον κύων
NN .ς/ι n-2a_n-2a Φίλιπποι Φίλιππος
NN .ο/α. n-3c(2)_n-2a Τιβεριάς Τιβέριος
NN .ω/ο./ια n-1a_n-3f(1b) ἡγεμονία ἡγεμών
NN .ω/ο./ια n-1a_n-3f(1b) Μακεδονία Μακεδών
NN .ω/ο./εια n-1a_n-3f(1b) ἀλαζονεία ἀλαζών
NN .α/ω./ιος n-2a_n-3g(2) Ναζωραῖος Ναζαρά
NN .ε/ω.ος/ηξ n-3b(1)_n-3d(2b) σκώληξ σκέλος
NN .ς/ια n-1a_n-3c(6a) κεραία κέρας
NN .α/ις n-3c(2)_n-1a θυρίς θύρα
NN .η/ις n-3c(2)_n-1b κεφαλίς κεφαλή
NN .η/ος n-3d(2b)_n-1b σκῆνος σκηνή
NN .η/ων n-3f(1a)_None νυμφών νύμφη
NN .α/ων n-3f(1a)_n-1a ἐλαιών ἐλαία
NN .η/ων n-3f(1a)_n-1b πυλών πύλη
NN .η/ων n-3f(1a)_n-1b κοιτών κοίτη
NN .ο/ευ. n-3e(3)_n-2a φονεύς φόνος
NN .ο/ευ. n-3e(3)_n-2a ἱππεύς ἵππος
NN .ο/ευ. n-3e(3)_n-2a χαλκεύς χαλκός
NN .ο/ευ. n-3e(3)_n-2a κεραμεύς κέραμος
NN .ο/ευ. n-3e(3)_n-2b Ταρσεύς Ταρσός
NN .ο/ησ./ος n-2a_n-2a Φιλιππήσιος Φίλιπποι
NN .ξ/κια n-1a_n-3b(1) ἀνθρακιά ἄνθραξ
NN .ς/ρια n-1a_n-3f(2a) ψευδομαρτυρία ψευδόμαρτυς
NN .η/ιος n-2a_None νυμφίος νύμφη
NN .α/εος n-2a_n-1a θυρεός θύρα
NN .α/κος n-2a_n-1a Ἀχαϊκός Ἀχαΐα
NN .α/ιον n-2c_n-1a χωρίον χώρα
NN .η/ιον n-2c_n-1b ὀθόνιον ὀθόνη
NN .η/ιον n-2c_n-1b δοκίμιον δοκιμή
NN .η/ευς n-3e(3)_n-1b Θεσσαλονικεύς Θεσσαλονίκη
NN .α/σκο. n-2a_n-1d νεανίσκος νεανίας
NN .η/ειον n-2c_n-1b μνημεῖον μνήμη
NN .ς/ριον n-2c_n-1f κριτήριον κριτής
NN .ς/ριον n-2c_n-1f ἀκροατήριον ἀκροατής
NN .ξ/γιον n-2c_n-3b(2) πτερύγιον πτέρυξ
NN .ς/διον n-2c_n-3c(2) παιδίον παῖς
NN .ς/τιον n-2c_n-3c(6a) κεράτιον κέρας
NN .ς/διον n-2c_n-3e(1) ἰχθύδιον ἰχθύς
NN .ς/στηρ n-3f(2a)_n-3c(6c) φωστήρ φῶς
NN .ς/δισκη n-1b_n-3c(2) παιδίσκη παῖς
NN .ς/δαριον n-2c_n-3c(2) παιδάριον παῖς
NN .ς/λιβανον n-2c_n-2a χαλκολίβανον χαλκός
NN .ος/η n-1b_n-2a οἰκοδομή οἰκοδόμος
NN .ος/η n-1b_n-3d(2b) σκευή σκεῦος
NN .ον/η n-1h_n-2c συκῆ σῦκον
NN .τη/ς n-3c(1)_n-1b Κρής Κρήτη
NN .ια/υς n-3e(3)_n-1a Ἀντιοχεύς Ἀντιόχεια
NN .ος/ων n-3f(1a)_n-2b ἀμπελών ἄμπελος
NN .σι/τη. n-1f_n-3e(5b) ὑποκριτής ὑπόκρισις
NN .ης/εια n-1a_n-1f οἰκετεία οἰκέτης
NN .ης/εια n-1a_n-1f προφητεία προφήτης
NN .ων/εια n-1a_n-3c(5b) θεραπεία θεράπων
NN .ος/ελη n-1b_n-3d(2b) νεφέλη νέφος
NN .ης/ιον n-2c_n-1f τελώνιον τελώνης
NN .υς/ιον n-2c_n-3e(3) πανδοχεῖον πανδοχεύς
NN .ον/ασια n-1a_n-2c ἐργασία ἔργον
NN .ον/ατης n-1f_n-2c ἐργάτης ἔργον
NN .ος/ηδων n-3f(1b)_n-2a χαλκηδών χαλκός
NN .ων/ουσια n-1a_n-3c(5b) γερουσία γέρων
NN .κτω/χ./η n-1b_n-3f(1b) τέχνη τέκτων
NN .της/σια n-1a_n-1f εὐεργεσία εὐεργέτης
NN .της/σια n-1a_n-1f νομοθεσία νομοθέτης
NN .τος/σια n-1a_n-2a αἰχμαλωσία αἰχμάλωτος
NN .κτης/ξια n-1a_n-1f πλεονεξία πλεονέκτης
NN /επι. n-2a_n-2a ἐπίσκοπος σκοπός
NN /ωτι.υς/ν n-2c_n-3c(6c) ὠτίον οὖς
NN π/Π./ρος n-2a_n-3f(2a) Πύρρος πῦρ
NN α/Α.η/δ./εας n-1d_n-3f(2c) Ἀνδρέας ἀνήρ
NN φ/Φ.ξ/κη n-1b_n-3b(1) Φοινίκη φοῖνιξ
NN τ/Τ.η/ων n-3f(1a)_n-1b Τίμων τιμή
NN τ/Τ.η/αινα n-1c_n-1b Τρύφαινα τρυφή
NN τ/Τ.η/ιμος n-2a_n-1b Τρόφιμος τροφή
NN πυ/Πε./αμ. n-2a_n-2a Πέργαμος πύργος

##

NN/A .ος/ια n-1a_a-3a ἀγαθοποιΐα ἀγαθοποιός
P/ADVN .ς/ν prep_n-3c(1) χάριν χάρις
P/DN .α/ις adverb_n-1a χωρίς χώρα
RP/CA .ος/ηλων a-1a(2b)_a-1a(2b) ἀλλήλων ἄλλος
VA/ADV-S? .ος/ευω cv-1a(6)_a-1a(2a) πρωτεύω πρῶτος

## A/N -> verb (should go in nav_derivations.txt)

VA/N .υς/υνω v-1c(2)_a-2b πλατύνω πλατύς
VA/N .ος/εω v-1d(2a)_a-3a βοηθέω βοηθός

## adverb -> verb

VD .ως/οω v-1d(3)_adverb ἀκριβόω ἀκριβῶς
VD .υς/ιζω v-2a(1)_adverb ἐγγίζω ἐγγύς

## N/A -> verb (should go in nav_derivations.txt)

VN/A .ος/εω cv-1d(2a)_a-3a κακοποιέω κακοποιός
VN/A .ος/εω cv-1d(2a)_a-3a ἀγαθοποιέω ἀγαθοποιός
VN/A .ος/εω v-1d(2a)_n-2a λοιδορέω λοίδορος

## verb -> verb

### -ω -> -ιζω

VV .ω/ιζω v-2a(1)_v-1c(2) γεμίζω γέμω
VV .ω/ιζω v-2a(1)_v-4 βαπτίζω βάπτω

###

VV ./ζω v-2a(1)_v-1d(2a) χρῄζω χρή
VV .ε/./σταζ. v-2a(2)_v-1a(6) νυστάζω νεύω
VV .ε/.θ/στευ. v-1a(6)_v-1b(3) πιστεύω πείθω
VV .ι/.σκ/ριζ. v-2a(1)_v-5a γνωρίζω γινώσκω
VV .α/η.λ/αφα. v-1d(1a)_v-2d(1) ψηλαφάω ψάλλω
VV .φ/βλο. v-1d(3)_v-1b(1) στρεβλόω στρέφω
VV .η/αομαι v-1d(1a)_v-1d(2a) χράομαι χρή
VV /εμ.ι/./ιζ. cv-2a(1)_v-2d(4) ἐμφανίζω φαίνω
VV ε/.ει/./ηγορε. v-1d(2a)_v-2d(3) γρηγορέω ἐγείρω
VV πιμ/.μι/ροω v-1d(3)_v-6a πληρόω πίμπλημι

##

X/VV .ι/.ω/ον particle_v-2d(1) ὄφελον ὀφείλω
