ἄγγος n-3d(2b) -- N n-3d(2b) ἀγγ AP ἄγγη ἄγγ η εσ+α
ἀγέλη n-1b -- F n-1b ἀγελ NS ἀγέλη ἀγέλ η η+
ἀγέλη n-1b -- F n-1b ἀγελ AS ἀγέλην ἀγέλ ην η+ν
ἀγενεαλόγητος a-3a -- M n-2a ἀγενεαλογητ NS ἀγενεαλόγητος ἀγενεαλόγητ ος ο+ς
ἀγενής a-4a -- N n-3d(2bA) ἀγεν AP ἀγενῆ ἀγεν ῆ εσ+α
ἁγιάζω verb PA M n-3c(5b) ἁγιαζ NS ἁγιάζων ἁγιάζ ων οντ+
ἁγιάζω verb PA N n-3c(5b) ἁγιαζ NS ἁγιάζον ἁγιάζ ον οντ+
ἁγιάζω verb PM M n-2a ἁγιαζομεν NP ἁγιαζόμενοι ἁγιαζόμεν οι ο+ι
ἁγιάζω verb PM M n-2a ἁγιαζομεν AP ἁγιαζομένους ἁγιαζομέν ους ο+νς
ἁγιάζω verb AA M n=3c(5a-1A) ἁγιασα NS ἁγιάσας ἁγιάσα ς ντ+ς
ἁγιάζω verb XM M n-2a ἡγιασμεν NP ἡγιασμένοι ἡγιασμέν οι ο+ι
ἁγιάζω verb XM M n-2a ἡγιασμεν DP ἡγιασμένοις ἡγιασμέν οις ο+ις
ἁγιάζω verb XM F n-1b ἡγιασμεν NS ἡγιασμένη ἡγιασμέν η η+
ἁγιάζω verb XM N n-2c ἡγιασμεν NS ἡγιασμένον ἡγιασμέν ον ο+ν
ἁγιασμός n-2a -- M n-2a ἁγιασμ NS ἁγιασμός ἁγιασμ ός ο+ς
ἁγιασμός n-2a -- M n-2a ἁγιασμ DS ἁγιασμῷ ἁγιασμ ῷ ο+ι
ἁγιασμός n-2a -- M n-2a ἁγιασμ AS ἁγιασμόν ἁγιασμ όν ο+ν
ἅγιος a-1a(1) -- M n-2a ἁγι NS ἅγιος ἅγι ος ο+ς
ἅγιος a-1a(1) -- M n-2a ἁγι GS ἁγίου ἁγί ου ο+ιο
ἅγιος a-1a(1) -- M n-2a ἁγι DS ἁγίῳ ἁγί ῳ ο+ι
ἅγιος a-1a(1) -- M n-2a ἁγι AS ἅγιον ἅγι ον ο+ν
ἅγιος a-1a(1) -- M n-2a ἁγι VS ἅγιε ἅγι ε ε+
ἅγιος a-1a(1) -- M n-2a ἁγι NP ἅγιοι ἅγι οι ο+ι
ἅγιος a-1a(1) -- M n-2a ἁγι VP ἅγιοι ἅγι οι ο+ι
ἅγιος a-1a(1) -- M n-2a ἁγι GP ἁγίων ἁγί ων +ων
ἅγιος a-1a(1) -- M n-2a ἁγι DP ἁγίοις ἁγί οις ο+ις
ἅγιος a-1a(1) -- M n-2a ἁγι AP ἁγίους ἁγί ους ο+νς
ἅγιος a-1a(1) -- F n-1a ἁγι NS ἁγία ἁγί α α+
ἅγιος a-1a(1) -- F n-1a ἁγι GS ἁγίας ἁγί ας α+ς
ἅγιος a-1a(1) -- F n-1a ἁγι DS ἁγίᾳ ἁγί ᾳ α+ι
ἅγιος a-1a(1) -- F n-1a ἁγι AS ἁγίαν ἁγί αν α+ν
ἅγιος a-1a(1) -- F n-1a ἁγι NP ἅγιαι ἅγι αι α+ι
ἅγιος a-1a(1) -- F n-1a ἁγι DP ἁγίαις ἁγί αις α+ις
ἅγιος a-1a(1) -- N n-2c ἁγι NS ἅγιον ἅγι ον ο+ν
ἅγιος a-1a(1) -- N n-2c ἁγι GS ἁγίου ἁγί ου ο+ιο
ἅγιος a-1a(1) -- N n-2c ἁγι DS ἁγίῳ ἁγί ῳ ο+ι
ἅγιος a-1a(1) -- N n-2c ἁγι AS ἅγιον ἅγι ον ο+ν
ἅγιος a-1a(1) -- N n-2c ἁγι NP ἅγια ἅγι α α
ἅγιος a-1a(1) -- N n-2c ἁγι GP ἁγίων ἁγί ων +ων
ἅγιος a-1a(1) -- N n-2c ἁγι AP ἅγια ἅγι α α
ἁγιότης n-3c(1) -- F n-3c(1) ἁγιοτη GS ἁγιότητος ἁγιότη τος τ+ος
ἁγιότης n-3c(1) -- F n-3c(1) ἁγιοτη DS ἁγιότητι ἁγιότη τι τ+ι
ἁγιωσύνη n-1b -- F n-1b ἁγιωσυν GS ἁγιωσύνης ἁγιωσύν ης η+ς
ἁγιωσύνη n-1b -- F n-1b ἁγιωσυν DS ἁγιωσύνῃ ἁγιωσύν ῃ η+ι
ἁγιωσύνη n-1b -- F n-1b ἁγιωσυν AS ἁγιωσύνην ἁγιωσύν ην η+ν
ἀγκάλη n-1b -- F n-1b ἀγκαλ AP ἀγκάλας ἀγκάλ ας α+νς
ἄγκιστρον n-2c -- N n-2c ἀγκιστρ AS ἄγκιστρον ἄγκιστρ ον ο+ν
ἄγκυρα n-1a -- F n-1a ἀγκυρ AS ἄγκυραν ἄγκυρ αν α+ν
ἄγκυρα n-1a -- F n-1a ἀγκυρ AP ἀγκύρας ἀγκύρ ας α+νς
ἄγναφος a-3a -- N n-2c ἀγναφ GS ἀγνάφου ἀγνάφ ου ο+ιο
ἁγνεία n-1a -- F n-1a ἁγνει DS ἁγνείᾳ ἁγνεί ᾳ α+ι
ἁγνίζω verb AP M n=3c(5a-EPSILON) ἁγνισθ NS ἁγνισθείς ἁγνισθ είς εντ+ς
ἁγνίζω verb XA M n-3c(1-XAP) ἡγνικ NP ἡγνικότες ἡγνικ ότες οτ+ες
ἁγνίζω verb XM M n-2a ἡγνισμεν AS ἡγνισμένον ἡγνισμέν ον ο+ν
ἁγνισμός n-2a -- M n-2a ἁγνισμ GS ἁγνισμοῦ ἁγνισμ οῦ ο+ιο
ἀγνοέω verb PA M n=3c(5b-OU) ἀγνο NS ἀγνοῶν ἀγνο ῶν ουντ+
ἀγνοέω verb PA M n=3c(5b-OU) ἀγνο NP ἀγνοοῦντες ἀγνο οῦντες ουντ+ες
ἀγνοέω verb PA M n=3c(5b-OU) ἀγνο DP ἀγνοοῦσι(ν) ἀγνο οῦσι(ν) ουντ+σι(ν)
ἀγνοέω verb PM M n-2a ἀγνοουμεν NS ἀγνοούμενος ἀγνοούμεν ος ο+ς
ἀγνοέω verb PM M n-2a ἀγνοουμεν NP ἀγνοούμενοι ἀγνοούμεν οι ο+ι
ἀγνοέω verb AA M n=3c(5a-1A) ἀγνοησα NP ἀγνοήσαντες ἀγνοήσα ντες ντ+ες
ἀγνόημα n-3c(4) -- N n-3c(4) ἀγνοημα GP ἀγνοημάτων ἀγνοημά των τ+ων
ἄγνοια n-1a -- F n-1a ἀγνοι GS ἀγνοίας ἀγνοί ας α+ς
ἄγνοια n-1a -- F n-1a ἀγνοι DS ἀγνοίᾳ ἀγνοί ᾳ α+ι
ἄγνοια n-1a -- F n-1a ἀγνοι AS ἄγνοιαν ἄγνοι αν α+ν
ἁγνός a-1a(2a) -- M n-2a ἁγν NS ἁγνός ἁγν ός ο+ς
ἁγνός a-1a(2a) -- M n-2a ἁγν AS ἁγνόν ἁγν όν ο+ν
ἁγνός a-1a(2a) -- M n-2a ἁγν AP ἁγνούς ἁγν ούς ο+νς
ἁγνός a-1a(2a) -- F n-1b ἁγν NS ἁγνή ἁγν ή η+
ἁγνός a-1a(2a) -- F n-1b ἁγν AS ἁγνήν ἁγν ήν η+ν
ἁγνός a-1a(2a) -- F n-1b ἁγν AP ἁγνάς ἁγν άς α+νς
ἁγνός a-1a(2a) -- N n-2c ἁγν NP ἁγνά ἁγν ά α
ἁγνότης n-3c(1) -- F n-3c(1) ἁγνοτη GS ἁγνότητος ἁγνότη τος τ+ος
ἁγνότης n-3c(1) -- F n-3c(1) ἁγνοτη DS ἁγνότητι ἁγνότη τι τ+ι
ἀγνωσία n-1a -- F n-1a ἀγνωσι AS ἀγνωσίαν ἀγνωσί αν α+ν
ἄγνωστος a-3a -- M n-2a ἀγνωστ DS ἀγνώστῳ ἀγνώστ ῳ ο+ι
ἀγορά n-1a -- F n-1a ἀγορ GS ἀγορᾶς ἀγορ ᾶς α+ς
ἀγορά n-1a -- F n-1a ἀγορ DS ἀγορᾷ ἀγορ ᾷ α+ι
ἀγορά n-1a -- F n-1a ἀγορ AS ἀγοράν ἀγορ άν α+ν
ἀγορά n-1a -- F n-1a ἀγορ DP ἀγοραῖς ἀγορ αῖς α+ις
ἀγοράζω verb PA M n-3c(5b) ἀγοραζ NP ἀγοράζοντες ἀγοράζ οντες οντ+ες
ἀγοράζω verb PA M n-3c(5b) ἀγοραζ AP ἀγοράζοντας ἀγοράζ οντας οντ+ας
ἀγοράζω verb AA M n=3c(5a-1A) ἀγορασα NS ἀγοράσας ἀγοράσα ς ντ+ς
ἀγοράζω verb AA M n=3c(5a-1A) ἀγορασα AS ἀγοράσαντα ἀγοράσα ντα ντ+α
ἀγοράζω verb XM M n-2a ἠγορασμεν NP ἠγορασμένοι ἠγορασμέν οι ο+ι
ἀγοραῖος a-3a -- M n-2a ἀγοραι GP ἀγοραίων ἀγοραί ων +ων
ἀγοραῖος a-3a -- F n-2b ἀγοραι NP ἀγοραῖοι ἀγοραῖ οι ο+ι
ἄγρα n-1a -- F n-1a ἀγρ DS ἄγρᾳ ἄγρ ᾳ α+ι
ἄγρα n-1a -- F n-1a ἀγρ AS ἄγραν ἄγρ αν α+ν
ἀγράμματος a-3a -- M n-2a ἀγραμματ NP ἀγράμματοι ἀγράμματ οι ο+ι
